,City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Lng
34,Bethel,US,01.05.2020,-14.8,68,1,9.17,60.79,-161.76
35,Victoria,BN,01.05.2020,84.2,70,75,4.7,5.28,115.24
36,Mataura,NZ,01.05.2020,48.99,80,100,21.99,-46.19,168.86
37,Koslan,RU,01.05.2020,9.54,94,98,8.16,63.46,48.9
38,Ushuaia,AR,01.05.2020,48.2,70,75,25.28,-54.81,-68.31
39,Vao,EE,01.05.2020,30.83,95,100,14.32,59.1,26.19
40,Ouro Preto do Oeste,BR,01.05.2020,72.64,97,100,4.43,-10.75,-62.22
41,Ponta do Sol,BR,01.05.2020,66.6,96,2,2.24,-20.63,-46.0
42,Katsuura,JP,01.05.2020,53.01,54,20,3.36,33.93,134.5
43,Pundaguitan,PH,01.05.2020,79.66,77,46,7.29,6.37,126.17
44,Esperance,AU,01.05.2020,86.0,20,0,21.92,-33.86,121.89
45,Kodiak,US,01.05.2020,37.99,64,1,5.82,39.95,-94.76
46,Cape Town,ZA,01.05.2020,64.4,72,40,8.05,-33.93,18.42
47,Sambava,MG,01.05.2020,70.92,93,72,2.35,-14.27,50.17
48,Graaff-Reinet,ZA,01.05.2020,61.0,67,90,4.72,-32.25,24.53
49,Bambous Virieux,MU,01.05.2020,75.2,94,75,10.29,-20.34,57.76
50,Princes Town,TT,01.05.2020,75.99,78,20,6.26,10.27,-61.37
51,Butaritari,KI,01.05.2020,85.01,75,100,17.43,3.07,172.79
52,Xining,CN,01.05.2020,19.96,50,100,0.49,36.62,101.77
53,Faanui,PF,01.05.2020,82.38,72,12,11.03,-16.48,-151.75
54,Nikolskoye,RU,01.05.2020,25.0,85,100,2.24,59.7,30.79
55,Kokopo,PG,01.05.2020,85.46,68,1,7.54,-4.34,152.27
56,Dingle,PH,01.05.2020,79.36,85,97,16.37,11.0,122.67
57,Sao Joao da Barra,BR,01.05.2020,75.29,94,100,4.38,-21.64,-41.05
58,Athens,GR,01.05.2020,45.0,81,90,11.41,37.98,23.73
59,Dicabisagan,PH,01.05.2020,78.26,72,5,8.43,17.08,122.42
60,Tasiilaq,GL,01.05.2020,20.64,90,100,38.86,65.61,-37.64
61,Khatanga,RU,01.05.2020,-2.85,98,99,5.68,71.98,102.47
62,Ati,TD,01.05.2020,61.93,26,33,8.25,13.21,18.34
63,Yuryevets,RU,01.05.2020,23.49,95,89,3.83,57.32,43.11
64,Cherskiy,RU,01.05.2020,-9.81,63,1,4.23,68.75,161.3
65,Port Alfred,ZA,01.05.2020,68.0,93,99,3.13,-33.59,26.89
66,Rawson,AR,01.05.2020,61.61,59,93,16.02,-43.3,-65.11
67,Sioux Lookout,CA,01.05.2020,19.4,72,90,14.99,50.1,-91.92
68,Brandon,US,01.05.2020,28.99,73,1,9.17,43.59,-96.57
69,Mackay,CA,01.05.2020,21.2,67,75,16.11,53.65,-115.58
70,Carnarvon,ZA,01.05.2020,58.98,82,69,7.38,-30.97,22.13
71,Castro,CL,01.05.2020,51.8,81,40,1.12,-42.48,-73.76
72,Mar del Plata,AR,01.05.2020,56.43,57,64,23.22,-46.43,-67.52
73,Karakol,KG,01.05.2020,13.68,37,62,4.97,42.49,78.39
74,Buala,SB,01.05.2020,85.53,70,47,8.97,-8.15,159.59
75,Le Port,FR,01.05.2020,42.01,79,0,3.0,42.87,1.37
76,Jamestown,AU,01.05.2020,73.4,55,82,0.31,-33.21,138.6
77,Thompson,CA,01.05.2020,6.8,84,90,10.29,55.74,-97.86
78,Yerbogachen,RU,01.05.2020,10.89,92,100,11.39,61.28,108.01
79,Saint George,GR,01.05.2020,42.8,45,75,20.8,39.45,22.34
80,Maniitsoq,GL,01.05.2020,4.98,98,100,26.04,65.42,-52.9
81,Nemuro,JP,01.05.2020,26.6,58,20,20.8,43.32,145.57
82,Omsukchan,RU,01.05.2020,-5.58,58,91,0.85,62.53,155.8
83,Lebu,ET,01.05.2020,51.46,81,38,0.56,8.96,38.73
84,Vila Velha,BR,01.05.2020,86.0,74,75,5.82,-3.71,-38.6
85,Fairbanks,US,01.05.2020,-17.0,66,100,2.15,64.84,-147.72
86,Dunedin,NZ,01.05.2020,55.99,52,70,38.01,-45.87,170.5
87,Belmonte,PT,01.05.2020,36.0,61,0,0.63,40.36,-7.35
88,Batagay-Alyta,RU,01.05.2020,-22.56,78,0,4.38,67.8,130.41
89,Barrow,AR,01.05.2020,61.7,89,100,7.25,-38.31,-60.23
90,Doha,QA,01.05.2020,62.6,82,32,11.41,25.29,51.53
91,Bredasdorp,ZA,01.05.2020,64.4,72,100,4.7,-34.53,20.04
92,Tarnogskiy Gorodok,RU,01.05.2020,11.48,92,0,4.99,60.5,43.58
93,Nanortalik,GL,01.05.2020,28.49,71,100,29.53,60.14,-45.24
94,Zhangye,CN,01.05.2020,25.43,48,100,2.55,38.94,100.46
95,Vila Franca do Campo,PT,01.05.2020,64.4,93,75,16.11,37.72,-25.43
96,Road Town,VG,01.05.2020,78.8,74,40,4.7,18.42,-64.62
97,Wenceslau Braz,BR,01.05.2020,66.99,99,1,1.01,-23.87,-49.8
98,Souillac,FR,01.05.2020,36.0,89,0,3.36,45.6,-0.6
99,Torbay,CA,01.05.2020,30.99,100,90,29.97,47.66,-52.73
100,Oktyabrskiy,RU,01.05.2020,32.0,96,75,4.47,55.61,37.97
101,Termoli,IT,01.05.2020,37.0,58,0,5.99,42.0,14.99
102,Punta Arenas,CL,01.05.2020,48.2,61,40,17.22,-53.16,-70.91
103,Soloneshnoye,RU,01.05.2020,13.91,75,0,4.83,51.65,84.32
104,Airai,TL,01.05.2020,81.5,53,100,4.97,-8.93,125.41
105,Puerto Ayora,EC,01.05.2020,75.99,82,0,5.01,-0.74,-90.35
106,Mustang,US,01.05.2020,46.99,56,1,7.07,35.38,-97.72
107,Elizabeth City,US,01.05.2020,45.0,71,1,7.87,36.3,-76.22
108,Portree,GB,01.05.2020,48.99,88,100,28.01,57.41,-6.19
109,Suntar,RU,01.05.2020,12.61,92,100,8.59,62.16,117.65
110,Rio Grande,BR,01.05.2020,73.99,83,31,1.99,-32.03,-52.1
111,Busselton,AU,01.05.2020,88.0,18,23,11.43,-33.64,115.35
112,Springbok,ZA,01.05.2020,51.19,76,81,3.31,-29.67,17.88
113,Hambantota,LK,01.05.2020,73.4,100,20,3.36,6.12,81.12
114,Banki,HR,01.05.2020,41.0,51,97,17.22,45.22,13.8
115,Heers,BE,01.05.2020,44.01,75,75,8.05,50.75,5.3
116,Chara,GR,01.05.2020,42.8,45,75,20.8,39.42,22.43
117,Erzin,TR,01.05.2020,46.4,65,75,8.05,36.95,36.2
118,Saskylakh,RU,01.05.2020,-16.62,92,100,16.02,71.97,114.09
119,New Norfolk,AU,01.05.2020,75.99,55,20,13.87,-42.78,147.06
120,Skelleftea,SE,01.05.2020,28.4,86,0,11.41,64.75,20.95
121,Kurya,RU,01.05.2020,11.5,71,0,1.19,51.6,82.29
122,Cap Malheureux,MU,01.05.2020,75.2,94,75,10.29,-19.98,57.61
123,Aklavik,CA,01.05.2020,-16.6,68,90,4.7,68.22,-135.01
124,Harper,US,01.05.2020,62.6,43,1,3.36,30.3,-99.24
125,Iqaluit,CA,01.05.2020,-16.6,62,90,5.82,63.75,-68.52
126,Ilulissat,GL,01.05.2020,10.4,60,100,9.17,69.22,-51.1
127,Kokstad,ZA,01.05.2020,61.5,98,71,2.91,-30.55,29.42
128,Varhaug,NO,01.05.2020,46.4,93,90,11.41,58.61,5.65
129,Richards Bay,ZA,01.05.2020,78.66,89,67,14.92,-28.77,32.06
130,Malinovoye Ozero,RU,01.05.2020,8.04,80,0,6.44,51.68,79.77
131,Kavaratti,IN,01.05.2020,80.29,67,0,7.2,10.57,72.64
132,Grand-Santi,GF,01.05.2020,69.84,99,21,1.63,4.27,-54.38
133,Pedro II,BR,01.05.2020,71.53,93,96,2.06,-4.43,-41.45
134,Kavieng,PG,01.05.2020,85.75,69,29,8.14,-2.57,150.8
135,Onega,RU,01.05.2020,18.55,85,85,12.17,63.91,38.09
136,Hobart,AU,01.05.2020,75.99,55,20,13.87,-42.88,147.33
137,Vredendal,ZA,01.05.2020,61.72,97,96,4.05,-31.68,18.49
138,Chokurdakh,RU,01.05.2020,-20.38,100,16,1.92,70.62,147.9
139,Lorengau,PG,01.05.2020,85.35,69,68,8.57,-2.02,147.27
140,Broome,GB,01.05.2020,46.4,81,3,9.17,52.47,1.45
141,Kapaa,US,01.05.2020,82.4,74,75,17.22,22.08,-159.32
142,Bereda,ES,01.05.2020,41.0,100,75,8.05,43.27,-7.54
143,Katiola,CI,01.05.2020,70.45,28,46,3.22,8.14,-5.1
144,Juazeiro,BR,01.05.2020,80.6,74,75,5.82,-9.43,-40.51
145,Wembley,CA,01.05.2020,28.4,58,20,25.28,55.15,-119.14
146,Hinjilikatu,IN,01.05.2020,69.26,68,0,4.76,19.48,84.75
147,Altay,CN,01.05.2020,16.03,49,92,4.81,47.83,88.13
148,Lebyazhye,RU,01.05.2020,25.0,85,100,2.24,59.96,29.42
149,Toccoa,US,01.05.2020,46.4,45,1,8.05,34.58,-83.33
150,Comodoro Rivadavia,AR,01.05.2020,68.0,34,75,16.11,-45.87,-67.48
151,Qaanaaq,GL,01.05.2020,-25.26,51,74,2.95,77.48,-69.36
152,Mahebourg,MU,01.05.2020,75.2,94,75,10.29,-20.41,57.7
153,East Bethel,US,01.05.2020,30.2,63,1,6.93,45.32,-93.2
154,Perth,AU,01.05.2020,87.8,25,0,2.24,-31.95,115.86
155,Bathsheba,BB,01.05.2020,75.2,94,75,3.36,13.22,-59.52
156,Hamilton,CA,01.05.2020,32.0,100,90,10.29,43.26,-79.87
157,Geraldton,CA,01.05.2020,17.6,85,90,3.36,49.72,-86.95
158,Ingham,AU,01.05.2020,91.9,44,0,8.32,-18.65,146.16
159,Longyearbyen,NO,01.05.2020,-0.4,64,20,11.41,78.22,15.63
160,Misawa,JP,01.05.2020,39.2,55,75,17.22,40.75,141.38
161,Uray,RU,01.05.2020,14.32,95,100,6.67,60.13,64.8
162,Husavik,CA,01.05.2020,16.0,80,0,7.78,50.56,-96.99
163,Port Lincoln,AU,01.05.2020,68.05,54,2,10.22,-34.72,135.86
164,San Quintin,PH,01.05.2020,83.32,53,0,5.12,17.54,120.52
165,Saint-Francois,FR,01.05.2020,32.0,92,8,2.24,46.42,3.91
166,Jaffna,LK,01.05.2020,80.62,79,50,14.5,9.67,80.01
167,Saint-Philippe,CA,01.05.2020,19.99,67,90,9.17,45.36,-73.48
168,Brae,GB,01.05.2020,50.0,93,100,23.04,60.4,-1.35
169,Pacific Grove,US,01.05.2020,57.2,67,1,4.7,36.62,-121.92
170,Sao Filipe,CV,01.05.2020,70.3,67,98,19.91,14.9,-24.5
171,Talcahuano,CL,01.05.2020,59.0,87,75,5.82,-36.72,-73.12
172,De-Kastri,RU,01.05.2020,12.99,86,95,18.57,51.48,140.77
173,Plettenberg Bay,ZA,01.05.2020,65.97,89,99,3.94,-34.05,23.37
174,Ballina,IE,01.05.2020,50.0,89,100,17.0,54.11,-9.15
175,Chernihiv,UA,01.05.2020,27.73,86,0,6.53,51.49,31.29
176,Eyemouth,GB,01.05.2020,48.2,87,4,8.05,55.87,-2.09
177,Klaksvik,FO,01.05.2020,48.2,100,100,16.11,62.23,-6.59
178,Farrukhabad,IN,01.05.2020,56.52,58,0,7.25,27.39,79.58
179,Malanje,AO,01.05.2020,64.22,95,100,1.3,-9.54,16.35
180,Taman,RU,01.05.2020,42.8,93,75,4.47,45.22,36.72
181,Iquitos,PE,01.05.2020,78.8,83,0,2.8,-3.75,-73.25
182,Chuy,UY,01.05.2020,69.55,85,0,11.83,-33.69,-53.46
183,Alofi,NU,01.05.2020,82.4,83,3,10.29,-19.06,-169.92
184,Okhotsk,RU,01.05.2020,5.38,79,0,9.13,59.36,143.24
185,Goderich,CA,01.05.2020,30.99,90,100,11.99,43.74,-81.71
186,Pevek,RU,01.05.2020,-7.29,80,0,3.85,69.7,170.27
187,Camocim,BR,01.05.2020,75.97,88,100,2.48,-2.9,-40.84
188,Hami,CN,01.05.2020,22.86,38,99,1.16,42.84,93.51
189,Siocon,PH,01.05.2020,90.0,60,14,9.17,11.03,124.04
190,Taoudenni,ML,01.05.2020,50.68,21,23,5.79,22.68,-3.98
191,Kanganpur,IN,01.05.2020,56.84,50,100,7.67,29.52,75.05
192,Severo-Kurilsk,RU,01.05.2020,26.65,91,99,8.43,50.68,156.12
193,Vanimo,PG,01.05.2020,82.02,74,100,8.37,-2.67,141.3
194,Nalut,LY,01.05.2020,49.51,83,55,10.54,31.86,10.98
195,Saldanha,PT,01.05.2020,34.38,84,0,0.56,41.42,-6.55
196,Naze,NG,01.05.2020,73.4,83,2,0.83,5.43,7.07
197,Haines Junction,CA,01.05.2020,-3.01,98,100,4.85,60.75,-137.51
198,Nefteyugansk,RU,01.05.2020,26.6,100,90,13.42,61.09,72.61
199,Lieksa,FI,01.05.2020,23.9,93,100,13.85,63.32,30.02
200,Darfield,NZ,01.05.2020,73.0,30,99,8.05,-43.49,172.11
201,Grand-Lahou,CI,01.05.2020,80.64,61,0,6.11,5.24,-5.0
202,Namatanai,PG,01.05.2020,85.84,71,87,8.95,-3.66,152.44
203,Rovaniemi,FI,01.05.2020,24.8,92,90,13.87,66.5,25.72
204,Mizdah,LY,01.05.2020,47.86,86,23,12.28,31.45,12.98
205,Poum,MK,01.05.2020,23.05,63,0,7.4,41.28,20.71
206,Saint-Orens-de-Gameville,FR,01.05.2020,35.01,100,90,2.24,43.56,1.54
207,Nizhniy Odes,RU,01.05.2020,9.0,94,70,7.0,63.64,54.86
208,Husum,DE,01.05.2020,43.0,93,100,14.99,54.49,9.05
209,College,US,01.05.2020,-17.0,66,100,1.77,64.86,-147.8
210,Halmaj,HU,01.05.2020,28.4,74,75,2.24,48.25,21.0
211,Itarema,BR,01.05.2020,76.15,87,43,4.32,-2.92,-39.92
212,Jijiga,ET,01.05.2020,60.3,74,71,10.27,9.35,42.8
213,Hilo,US,01.05.2020,80.6,61,90,17.22,19.71,-155.08
214,Abu Samrah,SY,01.05.2020,43.23,85,79,7.99,35.3,37.18
215,Alugan,PH,01.05.2020,82.27,76,21,15.08,12.22,125.48
216,Kalmunai,LK,01.05.2020,82.42,76,2,13.82,7.42,81.82
217,Kango,GA,01.05.2020,74.26,96,100,1.68,0.19,10.1
218,Itacoatiara,BR,01.05.2020,77.95,71,82,1.41,-3.14,-58.44
219,Araceli,PH,01.05.2020,81.19,81,34,22.93,10.55,119.99
220,Kalevala,FI,01.05.2020,22.66,90,100,13.42,64.12,29.58
221,Gerash,IR,01.05.2020,46.4,93,3,4.7,27.67,54.14
222,Constitucion,MX,01.05.2020,62.6,16,40,3.36,23.99,-104.67
223,Thurso,CA,01.05.2020,16.0,78,75,4.7,45.6,-75.25
224,Hithadhoo,MV,01.05.2020,84.33,73,100,12.73,-0.6,73.08
225,Sao Jose da Coroa Grande,BR,01.05.2020,80.02,78,100,8.61,-8.9,-35.15
226,Buctzotz,MX,01.05.2020,64.47,88,5,3.65,21.2,-88.79
227,Nyurba,RU,01.05.2020,0.3,98,99,3.42,63.29,118.35
228,Namibe,AO,01.05.2020,72.82,87,68,10.18,-15.19,12.15
229,Touros,BR,01.05.2020,80.6,78,40,6.93,-5.2,-35.46
230,Tiznit,MA,01.05.2020,47.19,87,0,1.19,29.7,-9.73
231,Nuristan,UZ,01.05.2020,41.0,100,90,6.93,38.49,65.64
232,Bonthe,SL,01.05.2020,75.56,72,0,4.16,7.53,-12.5
233,Voyvozh,RU,01.05.2020,13.28,95,97,6.62,62.89,54.96
234,Preobrazheniye,RU,01.05.2020,28.65,55,89,3.65,42.9,133.91
235,Jinchang,CN,01.05.2020,19.13,50,100,4.94,38.52,102.19
236,Greece,US,01.05.2020,33.01,86,90,6.93,43.21,-77.69
237,Tutoia,BR,01.05.2020,74.77,95,100,3.33,-2.76,-42.27
238,Cururupu,BR,01.05.2020,73.89,97,100,1.14,-1.82,-44.87
239,Killybegs,IE,01.05.2020,46.99,89,100,17.0,54.63,-8.45
240,Sehithwa,BW,01.05.2020,74.75,67,97,3.31,-20.47,22.7
241,Christchurch,NZ,01.05.2020,73.0,30,100,8.05,-43.53,172.64
242,Inhambane,MZ,01.05.2020,78.42,81,36,10.83,-23.87,35.38
243,Charagua,BO,01.05.2020,76.42,72,100,8.12,-19.79,-63.2
244,Marevo,BA,01.05.2020,28.4,79,75,3.36,43.57,18.7
245,Edd,ER,01.05.2020,76.91,82,78,7.05,13.93,41.69
246,Yantzaza,EC,01.05.2020,57.4,86,25,6.64,-3.83,-78.76
247,Zary,PL,01.05.2020,37.0,88,100,7.0,51.64,15.14
248,Lagoa,PT,01.05.2020,51.8,76,0,9.17,37.14,-8.45
249,Coahuayana,MX,01.05.2020,72.73,48,0,3.58,18.62,-100.35
250,Hofn,IS,01.05.2020,46.04,95,100,21.39,64.25,-15.21
251,Kruisfontein,ZA,01.05.2020,63.05,87,100,3.0,-34.0,24.73
252,Ugoofaaru,MV,01.05.2020,82.35,78,48,15.01,5.67,73.0
253,Sinegorskiy,RU,01.05.2020,34.14,84,100,2.75,48.01,40.84
254,Adrar,DZ,01.05.2020,42.8,38,0,10.29,27.87,-0.29
255,Lincoln,GB,01.05.2020,46.99,87,0,11.41,53.23,-0.54
256,Prince Rupert,CA,01.05.2020,39.2,66,75,12.75,54.32,-130.32
257,Wundanyi,KE,01.05.2020,68.05,91,57,2.48,-3.4,38.37
258,Luau,CD,01.05.2020,64.74,98,100,2.8,-10.7,22.23
259,Nouadhibou,MR,01.05.2020,59.0,72,25,14.99,20.93,-17.03
260,Payakumbuh,ID,01.05.2020,77.2,68,3,4.32,-0.23,100.63
261,Coos Bay,US,01.05.2020,48.99,87,90,4.7,43.37,-124.22
262,East London,ZA,01.05.2020,71.82,77,44,5.39,-33.02,27.91
263,Carutapera,BR,01.05.2020,81.3,80,99,12.21,-1.2,-46.02
264,Hasaki,JP,01.05.2020,48.0,48,20,12.75,35.73,140.83
265,Vardablur,AM,01.05.2020,28.4,79,90,2.24,40.67,44.25
266,Svolvaer,NO,01.05.2020,41.0,86,75,5.82,68.23,14.57
267,Cidreira,BR,01.05.2020,74.7,84,0,23.15,-30.17,-50.22
268,Novouzensk,RU,01.05.2020,29.46,94,96,5.06,50.46,48.14
269,Padang,ID,01.05.2020,82.27,55,0,2.73,-0.92,100.36
270,Young,UY,01.05.2020,73.0,60,43,5.55,-32.7,-57.63
271,Surt,LY,01.05.2020,56.14,75,90,16.42,31.21,16.59
272,Taksimo,RU,01.05.2020,-3.41,88,0,1.05,56.36,114.84
273,Uyuni,BO,01.05.2020,49.84,46,14,14.52,-20.46,-66.82
274,Sibolga,ID,01.05.2020,85.64,55,1,1.92,1.74,98.78
275,Huarmey,PE,01.05.2020,68.61,79,38,2.15,-10.07,-78.15
276,Yacuiba,AR,01.05.2020,80.31,48,96,5.3,-22.01,-63.68
277,Port Keats,AU,01.05.2020,90.77,58,100,12.68,-14.25,129.55
278,Smithers,CA,01.05.2020,28.4,58,40,2.24,54.78,-127.17
279,Thunder Bay,CA,01.05.2020,28.4,74,90,23.04,48.41,-89.26
280,Ucluelet,CA,01.05.2020,43.0,86,90,4.7,48.94,-125.55
281,Sao Felix do Xingu,BR,01.05.2020,72.43,98,100,1.28,-6.64,-51.99
282,Pando,UY,01.05.2020,78.01,60,33,17.22,-34.72,-55.96
283,Makueni,KE,01.05.2020,62.04,94,74,3.38,-1.8,37.62
284,Mutum,BR,01.05.2020,68.29,96,71,1.79,-19.82,-41.44
285,Brownwood,US,01.05.2020,53.6,52,1,6.49,31.71,-98.99
286,Hildburghausen,DE,01.05.2020,37.99,86,90,8.05,50.43,10.73
287,Mumford,GH,01.05.2020,70.99,60,100,3.36,5.26,-0.76
288,Warin Chamrap,TH,01.05.2020,73.0,83,1,4.7,15.19,104.86
289,Wad Rawah,SD,01.05.2020,55.17,24,0,10.25,15.16,33.13
290,Portland,US,01.05.2020,26.6,53,1,4.7,43.66,-70.25
291,Jalu,LY,01.05.2020,49.82,63,0,16.4,29.03,21.55
292,Morondava,MG,01.05.2020,76.35,86,0,1.63,-20.3,44.28
293,Kafanchan,NG,01.05.2020,65.26,34,96,5.39,9.58,8.3
294,Tabas,IR,01.05.2020,39.2,51,0,4.7,33.6,56.92
295,Tual,ID,01.05.2020,84.42,76,76,11.16,-5.67,132.75
296,Cabo San Lucas,MX,01.05.2020,70.0,77,75,3.36,22.89,-109.91
297,liliongan,PH,01.05.2020,84.72,58,44,5.46,7.36,124.8
298,Van,TR,01.05.2020,19.4,85,40,3.36,38.51,43.37
299,La Ronge,CA,01.05.2020,-2.2,77,90,5.14,55.1,-105.3
300,Norman Wells,CA,01.05.2020,-31.0,73,20,3.36,65.28,-126.83
301,Leningradskiy,RU,01.05.2020,-9.13,65,0,3.71,69.38,178.42
302,Tiksi,RU,01.05.2020,-12.57,86,3,13.6,71.64,128.87
303,Mazagao,BR,01.05.2020,78.8,100,20,6.93,-0.12,-51.29
304,Yar-Sale,RU,01.05.2020,10.06,89,0,14.61,66.83,70.83
305,Taltal,CL,01.05.2020,61.41,80,0,1.39,-25.41,-70.49
306,Phan Thiet,VN,01.05.2020,83.08,49,79,1.86,10.93,108.1
307,Pathein,MM,01.05.2020,80.1,73,17,10.02,16.78,94.73
308,Kendari,ID,01.05.2020,78.87,91,100,3.56,-3.99,122.52
309,Swan River,CA,01.05.2020,9.41,92,26,8.23,52.11,-101.27
310,Lavrentiya,RU,01.05.2020,-11.22,81,0,4.18,65.58,-170.99
311,Amga,RU,01.05.2020,4.8,96,100,3.89,60.89,131.98
312,Tiarei,PF,01.05.2020,80.6,88,40,6.93,-17.53,-149.33
313,Rapid Valley,US,01.05.2020,30.99,46,90,10.47,44.06,-103.15
314,Tsaratanana,MG,01.05.2020,68.36,94,100,4.34,-16.8,47.65
315,San Ramon,NI,01.05.2020,67.17,81,0,6.96,12.92,-85.84
316,Fortuna,US,01.05.2020,50.0,81,1,0.65,40.6,-124.16
317,Cockburn Town,TC,01.05.2020,77.47,68,2,8.16,21.46,-71.14
318,Aquiraz,BR,01.05.2020,86.0,74,75,5.82,-3.9,-38.39
319,Plouzane,FR,01.05.2020,41.0,86,90,10.29,48.38,-4.62
320,Labuhan,ID,01.05.2020,88.07,59,100,2.86,-2.54,115.51
321,Bubaque,GW,01.05.2020,77.02,43,0,17.49,11.28,-15.83
322,Dikson,RU,01.05.2020,17.19,94,100,16.11,73.51,80.55
323,Kholmogory,RU,01.05.2020,14.0,92,20,4.47,64.23,41.65
324,Port Blair,IN,01.05.2020,80.6,83,40,9.17,11.67,92.75
325,Talnakh,RU,01.05.2020,19.4,92,40,26.84,69.49,88.39
326,Mehamn,NO,01.05.2020,16.79,81,100,8.52,71.03,27.85
327,Nishihara,JP,01.05.2020,54.0,43,20,11.41,35.74,139.53
328,Te Anau,NZ,01.05.2020,43.54,77,60,11.92,-45.41,167.72
329,Poughkeepsie,US,01.05.2020,32.0,74,20,5.82,41.71,-73.93
330,Fort-Shevchenko,KZ,01.05.2020,30.74,56,100,5.75,44.51,50.26
331,Dasoguz,TM,01.05.2020,23.0,79,75,4.7,41.84,59.97
332,Berlevag,NO,01.05.2020,25.29,75,100,15.14,70.86,29.09
333,Provideniya,RU,01.05.2020,-11.09,72,83,8.1,64.42,-173.23
334,Bilma,NE,01.05.2020,51.28,31,48,6.42,18.69,12.92
335,Waingapu,ID,01.05.2020,84.13,77,37,22.37,-9.65,120.26
336,Mosquera,CO,01.05.2020,55.4,82,20,8.05,4.71,-74.23
337,Agadez,NE,01.05.2020,57.2,30,1,5.82,16.97,7.99
338,Tetouan,MA,01.05.2020,59.0,81,29,9.17,35.57,-5.37
339,Ribeira Grande,PT,01.05.2020,60.04,93,100,16.71,38.52,-28.7
340,Barabai,ID,01.05.2020,88.07,59,100,2.86,-2.59,115.38
341,Narsaq,GL,01.05.2020,17.6,78,90,8.05,60.91,-46.05
342,Kui Buri,TH,01.05.2020,77.0,69,33,5.06,12.07,99.86
343,Kjollefjord,NO,01.05.2020,19.53,74,100,7.43,70.95,27.35
344,Ferrol,ES,01.05.2020,41.0,100,75,8.05,43.48,-8.23
345,Cairns,AU,01.05.2020,89.01,70,40,5.82,-16.92,145.77
346,Conceicao do Araguaia,BR,01.05.2020,73.49,96,100,2.15,-8.26,-49.26
347,Rafraf,TN,01.05.2020,53.6,87,40,1.72,37.19,10.18
348,Bandarbeyla,SO,01.05.2020,79.0,77,94,6.8,9.49,50.81
349,Almaznyy,RU,01.05.2020,35.6,93,75,2.24,48.03,40.04
350,Vikhorevka,RU,01.05.2020,14.0,92,75,6.71,56.12,101.17
351,Santa Vitoria do Palmar,BR,01.05.2020,69.55,85,0,11.83,-33.52,-53.37
352,Kaitangata,NZ,01.05.2020,52.0,63,100,23.0,-46.28,169.85
353,Northam,AU,01.05.2020,87.8,20,0,4.7,-31.65,116.67
